NAME,VIEWERS,24H_PEAK,STEAM_PLAYERS
Grand Theft Auto: Vice City,28,593,9
Marvel vs. Capcom: Infinite,8,478,9
Gone Home,6,16,9
The Infectious Madness of Doctor Dekker,5,7,9
The Final Station,3,8,9
Shantae and the Pirate's Curse,2,8,9
Starship Theory,2,2,9
ZOMBI,1,9,9
Wolfenstein 3D,0,3,9
Thrillville: Off the Rails,0,1,9
Devil May Cry 3: Special Edition,0,9,9
F.E.A.R.: Extraction Point,0,3,9
Call of Juarez: Bound in Blood,0,6,9
Everyday Genius: SquareLogic,0,1,9
Gratuitous Space Battles,0,5,9
World of Zoo,0,1,9
Robin Hood,0,9,9
Carrier Command: Gaea Mission,0,3,9
Renegade Ops,0,2,9
Archeblade,0,2,9
Ys: The Oath in Felghana,0,9,9
Botanicula,0,12,9
Fieldrunners,0,4,9
Gear Up,0,1,9
Primal Carnage,0,1,9
Mercenary Kings,0,2,9
Thomas Was Alone,0,13,9
Blade Symphony,0,1,9
Nom Nom Galaxy,0,1,9
Primordia,0,2,9
Serious Sam Classics: Revolution,0,1,9
Organ Trail: Director's Cut,0,3,9
Battle Worlds: Kronos,0,1,9
Sorcerer King,0,3,9
Bound By Flame,0,14,9
SpellForce 2 - Demons of the Past,0,3,9
"I Have No Mouth, and I Must Scream",0,1,9
The Typing of The Dead: Overkill,0,1,9
Sacred 3,0,2,9
BELOW,0,3,9
Kingdom Wars 2: Battles,0,1,9
Lichdom: Battlemage,0,2,9
Toy Soldiers: Complete,0,5,9
Worlds of Magic,0,2,9
The Last Federation,0,9,9
Z,0,2,9
FarSky,0,19,9
Game Character Hub,0,1,9
Putt-Putt Saves The Zoo,0,11,9
Dreaming Sarah,0,2,9
Boson X,0,2,9
The Witcher Adventure Game,0,7,9
Buzz Aldrin's Space Program Manager,0,3,9
Chasm,0,3,9
TOXIKK,0,1,9
AKIBA'S TRIP: Undead & Undressed,0,5,9
GOCCO OF WAR,0,5,9
SAMURAI WARRIORS 4-II,0,1,9
Riff Racer,0,8,9
Caravan,0,3,9
METAL SLUG DEFENSE,0,1,9
LiEat,0,1,9
Battlevoid: Harbinger,0,3,9
FlatOut 4: Total Insanity,0,1,9
The Fall of the Dungeon Guardians,0,1,9
Junk Jack,0,1,9
Dungeon Rushers,0,9,9
Rusty Lake Hotel,0,5,9
A House of Many Doors,0,2,9
Seven Kingdoms: Ancient Adversaries,0,1,9
Cricket Captain 2016,0,2,9
Autobahn Police Simulator 2,0,2,9
The Shrouded Isle,0,2,9
TO THE TOP,0,5,9
Nightshade,0,3,9
Oh...Sir! The Insult Simulator,0,2,9
Deisim,0,3,9
Mages of Mystralia,0,11,9
VR The Diner Duo,0,3,9
Tower 57,0,7,9
Dungeon Rats,0,3,9
IronWolf VR,0,2,9
Vampire: The Masquerade - Redemption,0,10,9
Underhero,0,22,9
Formata,0,4,9
Jet Island,0,1,9
Romancing SaGa 2,0,4,9
Crystalline,0,1,9
TT Isle of Man,0,2,9
BOXVR,0,4,9
DOOM VFR,0,5,9
BattleRush,0,3,9
Keplerth,0,6,9
Game Dev Studio,0,3,9
Identity,0,4,9
Star Valor,0,1,9
Starcom: Nexus,0,1,9
Armajet,0,26,9
Don't Knock Twice,72,86,8
S.T.A.L.K.E.R.: Shadow of Chernobyl,52,586,8
Tomb Raider: Chronicles,10,10,8
Yoku's Island Express,5,5,8
Sparc,2,63,8
Sphinx and the Cursed Mummy,2,5,8
Bridge Constructor,1,4,8
Woodle Tree Adventures,1,2,8
Empire TV Tycoon,1,12,8
Ricochet,0,1,8
Final DOOM,0,26,8
Heroes of Annihilated Empires,0,2,8
Lost Planet: Extreme Condition,0,1,8
Hitman: Codename 47,0,2,8
Brothers in Arms: Earned in Blood,0,1,8
World in Conflict,0,3,8
Call of Cthulhu: Dark Corners of the Earth,0,4,8
Kane & Lynch 2: Dog Days,0,2,8
Cradle of Rome,0,3,8
Nation Red,0,3,8
Star Wolves 3: Civil War,0,5,8
A Game of Dwarves,0,4,8
Magicka: Wizard Wars,0,1,8
Jagged Alliance: Crossfire,0,2,8
Pressure,0,3,8
Contrast,0,3,8
The Swapper,0,4,8
Prime World: Defenders,0,1,8
Horizon,0,4,8
Sniper Elite: Nazi Zombie Army 2,0,2,8
Eden Star,0,30,8
Etherlords II,0,50,8
The Incredible Adventures of Van Helsing II,0,1,8
Abyss: The Wraiths of Eden,0,3,8
Toybox Turbos,0,2,8
You Must Build A Boat,0,3,8
UFO: Aftermath,0,1,8
Just Survive,0,1,8
Heavy Bullets,0,2,8
Outland,0,1,8
Project AURA,0,3,8
AXYOS,0,5,8
Convoy,0,1,8
Chaos Reborn,0,11,8
"Warhammer 40,000: Regicide",0,4,8
I am Bread,0,19,8
Hektor,0,3,8
Avernum 2: Crystal Souls,0,1,8
Lakeview Cabin Collection,0,10,8
FreeCell Quest,0,4,8
Her Story,0,17,8
Airport Madness: World Edition,0,1,8
Rugby Challenge 3,0,2,8
Sky Rogue,0,1,8
Doorways: Holy Mountains of Flesh,0,6,8
Acceleration of SUGURI 2,0,2,8
Wayward Terran Frontier: Zero Falls,0,6,8
New York Mysteries: High Voltage,0,1,8
Bowl Bound College Football,0,2,8
MXGP2 - The Official Motocross Videogame,0,1,8
Lost Moon,0,5,8
Guardians of Orion (Phase 1),0,1,8
Unfortunate Spacemen,0,320,8
Hyperdevotion Noire: Goddess Black Heart,0,1,8
Kitty Powers' Love Life,0,5,8
????????????????????????(The Gate of Firmament),0,2,8
Royal Heroes,0,1,8
Tyto Ecology,0,1,8
Avadon 3: The Warborn,0,2,8
Yesterday Origins,0,6,8
Enigmatis 3: The Shadow of Karkhala,0,5,8
Flat Heroes,0,2,8
Crashday Redline Edition,0,1,8
Bandit Kings of Ancient China,0,1,8
A Normal Lost Phone,0,9,8
Bad Dream: Coma,0,8,8
Nancy Drew: Sea of Darkness,0,10,8
Ys SEVEN,0,11,8
Tube Tycoon,0,1,8
Karnage Chronicles,0,1,8
ATOMEGA,0,2,8
It's Quiz Time,0,13,8
JYDGE,0,5,8
b,0,7,8
Solace Crafting,0,1,8
Bus Driver Simulator,0,4,8
Undead Development,0,2,8
SaGa Scarlet Grace,0,1,8
Army Men RTS,0,1,8
Shooty Skies,0,2,8
Strange Telephone,0,2,8
AFFECTED: The Manor,0,3,8
Shark Simulator,0,4,8
Verdant Skies,0,4,8
Burger Shop 2,0,1,8
A Sky Full of Stars,0,2,8
Nippon Marathon,0,22,8
Rainswept,0,50,8
Valthirian Arc: Hero School Story,0,4,8
Exiled Kingdoms,0,1,8
RUSSIA BATTLEGROUNDS,0,1,8
pla_toon,0,2,8
Project Warlock,0,5,8
Idle Kingdom Builder,0,1,8
Blood Card,0,1,8
Axis Football 2018,0,1,8
Loria,0,1,8
At Home Alone,0,3,8
NEOVERSE,0,9,8
The Dark Occult,19,29,7
Hatoful Boyfriend,5,18,7
Switchblade,5,25,7
WRC 6,3,8,7
Hunt Down The Freeman,2,4,7
GET EVEN,1,25,7
GUN,0,2,7
Zen of Sudoku,0,9,7
Dreamfall: The Longest Journey,0,20,7
Nexus: The Jupiter Incident,0,68,7
DarkStar One,0,1,7
Fish Tycoon,0,2,7
Children of the Nile: Alexandria,0,2,7
Earth Defense Force: Insect Armageddon,0,1,7
Hotel Giant 2,0,4,7
Dragon Age II,0,12,7
Commander: Conquest of the Americas,0,3,7
IL-2 Sturmovik: Cliffs of Dover,0,1,7
NBA 2K11,0,4,7
Fate of the World,0,2,7
Gemini Rue,0,14,7
Sanctum,0,2,7
Hard Reset,0,1,7
Nosgoth,0,3,7
Hegemony Gold: Wars of Ancient Greece,0,1,7
Stellar Impact,0,1,7
Tony Hawk's Pro Skater HD,0,10,7
Apotheon,0,4,7
Magical Diary,0,2,7
The Amazing Spider-Man,0,2,7
Beyond Divinity,0,1,7
The Cave,0,70,7
Super House of Dead Ninjas,0,9,7
Legacy of Kain: Soul Reaver,0,3,7
Deadfall Adventures,0,1,7
Realms of Arkania: Blade of Destiny,0,3,7
The Mighty Quest For Epic Loot,0,2,7
Mushroom 11,0,6,7
Divinity: Dragon Commander,0,6,7
Sid Meier's Ace Patrol,0,2,7
Spacebase DF-9,0,4,7
Corpse Party,0,5,7
Double Dragon Neon,0,4,7
Nihilumbra,0,2,7
World War II: Panzer Claws,0,1,7
WRC 4 FIA WORLD RALLY CHAMPIONSHIP,0,1,7
Cosmic Star Heroine,0,41,7
Nightmares from the Deep: The Cursed Heart,0,6,7
Emergency 2014,0,2,7
Signs of Life,0,4,7
Gomo,0,8,7
Last Dream,0,4,7
RONIN,0,1,7
Halo: Spartan Assault,0,1,7
Imagine Earth,0,2,7
Grim Legends: The Forsaken Bride,0,1,7
9 Clues: The Secret of Serpent Creek,0,10,7
Putt-Putt Enters the Race,0,1,7
Lucius II,0,26,7
Warrior Kings: Battles,0,1,7
Hidden in Plain Sight,0,7,7
Technobabylon,0,89,7
Penarium,0,3,7
Sproggiwood,0,1,7
Way of the Samurai 4,0,1,7
Sunrider: Mask of Arcadius,0,1,7
Catacomb Kids,0,15,7
Wings of Vi,0,40,7
VoidExpanse,0,5,7
Deep Dungeons of Doom,0,3,7
Alchemy Mysteries: Prague Legends,0,3,7
WASTED,0,2,7
Ironcast,0,1,7
Oceanhorn: Monster of Uncharted Seas,0,4,7
Sunrider Academy,0,2,7
Hidden Object Bundle 5 in 1,0,1,7
Galaxy of Pen & Paper,0,4,7
Eternal Senia,0,2,7
Stephen's Sausage Roll,0,123,7
Transmissions: Element 120,0,1,7
METAL SLUG,0,7,7
Mirage: Arcane Warfare,0,2,7
Scourge of War: Waterloo,0,2,7
Eon Altar,0,1,7
RPG Maker 2000,0,1,7
Blood Code,0,1,7
Hyperdimension Neptunia U: Action Unleashed,0,5,7
Ice Lakes,0,22,7
Legends of Solitaire: Curse of the Dragons,0,1,7
Flinthook,0,4,7
Dragon Quest Heroes,0,2,7
Astrox: Hostile Space Excavation,0,4,7
Gods and Idols,0,1,7
Imperia Online,0,2,7
The Walking Dead: Michonne,0,4,7
Professional Farmer 2017,0,1,7
The Secret Order 3: Ancient Times,0,2,7
One Troll Army,0,1,7
Ara Fell,0,16,7
Omensight,0,5,7
Song of the Deep,0,3,7
???????????? I?????????????? [City of God I - Prison Empire],0,1,7
Paranormal Activity: The Lost Soul,0,16,7
Island 359,0,1,7
Heart's Medicine - Time to Heal,0,27,7
Unexplored,0,3,7
Epic Tavern,0,7,7
Bullet Sorrow VR,0,17,7
Serial Cleaner,0,6,7
"Please, Don't Touch Anything 3D",0,5,7
Train Mechanic Simulator 2017,0,2,7
Mahjong,0,5,7
Zombie Exodus: Safe Haven,0,2,7
NBA Playgrounds,0,5,7
ICEY,0,1,7
Superdimension Neptune VS Sega Hard Girls,0,6,7
Call to Power II,0,1,7
Gran Skrea Online,0,1,7
Veil of Crows,0,16,7
Ratty Catty,0,2,7
Ultrawings,0,70,7
Skyfront VR,0,3,7
Warbanners,0,2,7
Forged Battalion,0,5,7
Feudal Alloy,0,56,7
CASE 2: Animatronics Survival,0,3,7
First Feudal,0,5,7
Around the World in 80 days,0,5,7
War Brokers,0,3,7
Radical Dungeon Sweeper,0,2,7
Meteor 60 Seconds!,0,5,7
Grimmwood,0,56,7
Survisland,0,8,7
Diner Bros,0,3,7
Super Lucky's Tale,0,11,7
Rolling Bird,0,1,7
Stay Close,39,72,6
Golfing Over It with Alva Majo,15,26,6
Deiland,11,68,6
Maelstrom,5,6,6
Hospital Tycoon,3,7,6
Shadwen,2,3,6
Old School Musical,1,15,6
Snake Pass,1,30,6
Half-Life Deathmatch: Source,0,1,6
Quake III: Team Arena,0,2,6
Arma: Combat Operations,0,1,6
Escape Rosecliff Island,0,21,6
Indiana Jones and the Fate of Atlantis,0,1,6
Kane & Lynch: Dead Men,0,5,6
Grand Theft Auto III,0,467,6
DiRT 2,0,1,6
Red Faction,0,12,6
Nancy Drew: Danger on Deception Island,0,1,6
Nancy Drew: Secret of the Old Clock,0,1,6
Moonbase Alpha,0,5,6
Beat Hazard,0,3,6
Space Channel 5: Part 2,0,15,6
DETOUR,0,2,6
The Dream Machine,0,19,6
Kohan II: Kings of War,0,1,6
Toy Soldiers,0,2,6
Disciples III: Resurrection,0,2,6
Yesterday,0,8,6
Deadlight,0,6,6
Super Crate Box,0,2,6
The Book of Unwritten Tales,0,8,6
Pro Evolution Soccer 2013,0,1,6
Perpetuum,0,1,6
Waking Mars,0,3,6
Ashes of the Singularity: Classic,0,9,6
Mars: War Logs,0,1,6
LUFTRAUSERS,0,1,6
Evoland,0,7,6
Receiver,0,5,6
UFO: Afterlight,0,5,6
Super Puzzle Platformer Deluxe,0,1,6
Inquisitor,0,1,6
TrackMania?? Valley,0,1,6
Supreme Ruler 1936,0,20,6
Nether,0,6,6
Unholy Heights,0,3,6
Assault Android Cactus,0,3,6
Livelock,0,2,6
Loren The Amazon Princess,0,3,6
Earth 2150: The Moon Project,0,2,6
Hero of the Kingdom,0,2,6
FORCED SHOWDOWN,0,5,6
Rogue's Tale,0,2,6
Drox Operative,0,23,6
7 Wonders of the Ancient World,0,1,6
MX vs. ATV Supercross Encore,0,2,6
Colin McRae Rally,0,14,6
Freight Tycoon Inc.,0,9,6
Planet Alcatraz,0,21,6
UFO: Aftershock,0,3,6
Industry Empire,0,1,6
Knight Squad,0,39,6
Merchants of Kaidan,0,4,6
Shadowgate,0,2,6
OZMAFIA!!,0,1,6
The House in Fata Morgana,0,11,6
Suicide Guy,0,525,6
Wildlife Park,0,2,6
Conarium,0,2,6
Absolute Drift,0,28,6
FRAMED Collection,0,1,6
TRON 2.0,0,1,6
Reflex Arena,0,2,6
Crossing Souls,0,7,6
Shardlight,0,2,6
Hearthlands,0,4,6
Runestone Keeper,0,1,6
Ember,0,2,6
Hero of the Kingdom II,0,1,6
Chip's Challenge 2,0,1,6
Doodle God,0,1,6
FIM Speedway Grand Prix 15,0,6,6
Red Stone Online,0,2,6
"Please, Don???t Touch Anything",0,1,6
Sebastien Loeb Rally EVO,0,2,6
The Incredible Adventures of Van Helsing III,0,2,6
Space Rogue,0,5,6
Flying Tigers: Shadows Over China,0,1,6
Seasons after Fall,0,5,6
Virginia,0,9,6
Microcosmum: survival of cells,0,2,6
Rake,0,1,6
High Fidelity,0,6,6
Bear Simulator,0,2,6
ACE Academy,0,5,6
Evochron Legacy,0,2,6
Game Corp DX,0,2,6
Kopanito All-Stars Soccer,0,2,6
Emergency 2016,0,4,6
Charlie Murder,0,1,6
Turok,0,2,6
UniBall,0,29,6
Criminal Girls: Invite Only,0,1,6
Ampersand,0,2,6
Men of Valor,0,2,6
Metal War Online: Retribution,0,2,6
Cloudlands : VR Minigolf,0,1,6
Windlands,0,2,6
Spellweaver,0,27,6
AFL Evolution,0,1,6
Tavern Tycoon,0,4,6
I am Setsuna,0,2,6
Age of Gladiators,0,2,6
Alice's Patchwork,0,2,6
Diluvion,0,1,6
Splasher,0,5,6
Where the Water Tastes Like Wine,0,1,6
The Spatials: Galactology,0,1,6
Highway Blossoms,0,3,6
StarsOne,0,1,6
Sweet Escape VR,0,3,6
Solitairica,0,1,6
Death Squared,0,1,6
Yomawari: Night Alone,0,13,6
SMILE GAME BUILDER,0,2,6
Mad Father,0,18,6
KARAKARA,0,3,6
Astral Heroes,0,1,6
Need to Know,0,1,6
Has-Been Heroes,0,1,6
The Hex,0,7,6
Unbox,0,1,6
Atomic Society,0,2,6
Make America Great Again: The Trump Presidency,0,1,6
Ancient Frontier,0,1,6
Rogalia,0,3,6
Slayaway Camp,0,2,6
Blocks,0,13,6
Angels of Death,0,2,6
Survive the Nights,0,2,6
BREAK ARTS II,0,4,6
Rakuen,0,58,6
Space Tyrant,0,5,6
Gamer Career Tycoon,0,2,6
Hell Girls,0,8,6
Doodle God Blitz,0,1,6
War Tech Fighters,0,3,6
Orwell: Ignorance is Strength,0,5,6
Last Day of June,0,64,6
Tale of Toast,0,5,6
OLDTV,0,2,6
Bermuda - Lost Survival,0,1,6
Regular Human Basketball,0,2,6
Inertia,0,328,6
Computer Tycoon,0,1,6
This Grand Life,0,1,6
Keepsake,0,3,6
Override,0,1,6
Train Frontier Classic,0,4,6
Legendary DXP,0,2,6
Treasure Hunter Simulator,0,2,6
Perfect Heist,0,1,6
Landinar: Into the Void,0,3,6
Doodle Date,0,3,6
Battle Royale Tycoon,0,4,6
My Brother Rabbit,0,4,6
The Miskatonic,0,8,6
Gladiabots,0,2,6
SIMULACRA: Pipe Dreams,0,5,6
Dragon Spear,0,1,6
FPV Air 2,0,1,6
FROSTBITE: Deadly Climate,0,1,6
EEP 15,0,4,6
The Eternal Castle [REMASTERED],0,2,6
Silent Hill: Homecoming,90,101,5
Prison Boss VR,71,71,5
Gal*Gun 2,11,15,5
Space Farmers,10,10,5
BLACK CLOVER: QUARTET KNIGHTS,10,12,5
"Sir, You Are Being Hunted",6,6,5
Flix and Chill,4,8,5
ADR1FT,3,5,5
Cypher,3,5,5
Condemned: Criminal Origins,2,17,5
Midnight Club II,2,12,5
DiRT 3,2,23,5
Penumbra: Black Plague,1,5,5
EDGE,1,1,5
Summoner,1,3,5
The Black Watchmen,1,3,5
Runner3,1,2,5
COMPOUND,1,1,5
SiN Episodes: Emergence,0,1,5
Shadowgrounds,0,1,5
Peggle Extreme,0,6,5
The Dig,0,19,5
Making History: The Calm & The Storm,0,5,5
Tom Clancy's Splinter Cell: Double Agent,0,5,5
Rayman: Raving Rabbids,0,1,5
Plant Tycoon,0,3,5
Age of Chivalry,0,2,5
Penumbra: Requiem,0,5,5
Aquaria,0,2,5
Nancy Drew: Ghost Dogs of Moon Lake,0,2,5
Nancy Drew: The White Wolf of Icicle Creek,0,11,5
Delta Force: Xtreme 2,0,2,5
Comanche 4,0,1,5
Farm Frenzy 2,0,2,5
Sacrifice,0,1,5
Samorost 2,0,23,5
NBA 2K10,0,3,5
Nancy Drew: Warnings at Waverly Academy,0,3,5
The Settlers 7: Paths to a Kingdom,0,4,5
Take On Helicopters,0,1,5
Pride of Nations,0,4,5
Stacking,0,11,5
Wizorb,0,1,5
Blades of Time,0,2,5
Street Fighter X Tekken,0,45,5
Viking: Battle for Asgard,0,8,5
Rise of the Triad,0,11,5
Aarklash: Legacy,0,1,5
NASCAR The Game: 2013,0,1,5
Marvel Heroes Omega,0,4,5
Nancy Drew: Ghost of Thornton Hall,0,38,5
March of the Eagles,0,1,5
Anodyne,0,32,5
Blackwell Epiphany,0,3,5
Bionic Dues,0,2,5
Betrayer,0,1,5
Volgarr the Viking,0,21,5
NEStalgia,0,3,5
Go! Go! Nippon! ~My First Trip to Japan~,0,1,5
NASCAR '14,0,2,5
Escape Goat 2,0,5,5
Max: The Curse of Brotherhood,0,7,5
Deus Ex: The Fall,0,5,5
The Vanishing of Ethan Carter,0,20,5
BlazBlue: Calamity Trigger,0,16,5
Out There Somewhere,0,6,5
CONSORTIUM,0,12,5
The Yawhg,0,11,5
Block Story,0,1,5
NOT A HERO,0,3,5
Westerado: Double Barreled,0,4,5
Grim Legends 2: Song of the Dark Swan,0,10,5
Nightmares from the Deep 3: Davy Jones,0,2,5
Action Henk,0,5,5
You Have to Win the Game,0,3,5
Pandora: First Contact,0,1,5
Pajama Sam 3: You Are What You Eat From Your Head To Your Feet,0,2,5
Putt-Putt Travels Through Time,0,14,5
City Of Brass,0,9,5
Ballad of Solar,0,1,5
Memories of a Vagabond,0,1,5
Cricket Captain 2014,0,1,5
Advanced Tactics Gold,0,37,5
The Way,0,11,5
Battlezone,0,7,5
Sakura Spirit,0,2,5
Heroes of a Broken Land,0,5,5
Republique,0,9,5
Odallus: The Dark Call,0,1,5
The Treasures of Montezuma 3,0,3,5
Halo: Spartan Strike,0,2,5
Decisive Campaigns: The Blitzkrieg from Warsaw to Paris,0,3,5
Choice of Robots,0,35,5
Gunscape,0,4,5
12 Labours of Hercules,0,5,5
SimpleRockets,0,4,5
Overture,0,12,5
CRYPTARK,0,1,5
Crystal Story II,0,4,5
Tasty Blue,0,5,5
The Fruit of Grisaia,0,4,5
Steredenn,0,2,5
Cricket Captain 2015,0,2,5
Farlight Explorers,0,1,5
The Silent Age,0,4,5
Five Nights at Freddy's 3,0,4,5
WRC 5,0,2,5
Sam & Max Hit the Road,0,16,5
Cobalt,0,1,5
Crash Dive,0,2,5
Brilliant Bob,0,4,5
Lost Lands: The Four Horsemen,0,4,5
Aion,0,131,5
Invisigun Heroes,0,27,5
Starlight Vega,0,6,5
Absconding Zatwor,0,4,5
Affected Zone Tactics,0,2,5
DungeonUp,0,1,5
Command: Northern Inferno,0,2,5
Sengoku Jidai: Shadow of the Shogun,0,3,5
Else Heart.Break(),0,57,5
Sakura Swim Club,0,2,5
Zombasite,0,1,5
RAID: World War II,0,2,5
Fantasy Farming: Orange Season,0,4,5
SquareCells,0,1,5
Air Missions: HIND,0,3,5
The Quest,0,1,5
Earn to Die 2,0,1,5
Nemesis of the Roman Empire,0,2,5
Neon Drive,0,1,5
Bit Blaster XL,0,2,5
Portal Stories: VR,0,1,5
Black Rose,0,2,5
Regalia: Of Men and Monarchs,0,2,5
DoDonPachi Resurrection,0,2,5
Event[0],0,3,5
Scanner Sombre,0,23,5
Heart of Crown PC,0,11,5
Nurse Love Addiction,0,1,5
The Infinite Black,0,1,5
Figment,0,3,5
Montaro,0,10,5
MegaTagmension Blanc + Neptune VS Zombies,0,1,5
8-Bit Hordes,0,1,5
Super Star,0,2,5
Manual Samuel,0,6,5
Antihero,0,2,5
Lucius III,0,25,5
Minds Eyes,0,6,5
What The Box?,0,7,5
Cockroach Simulator,0,7,5
Agricola: All Creatures Big and Small,0,3,5
Bubble Jungle,0,1,5
8-Bit Invaders!,0,1,5
Super Blood Hockey,0,3,5
Delicious! Pretty Girls Mahjong Solitaire,0,2,5
PWND,0,1,5
DEATHGARDEN,0,1,5
Legrand Legacy,0,127,5
Love Ribbon,0,4,5
MXGP3 - The Official Motocross Videogame,0,4,5
Cabals: Card Blitz,0,1,5
Nancy Drew: The Secret of Shadow Ranch,0,11,5
Pain Train,0,2,5
Robinson: The Journey,0,1,5
Old Man's Journey,0,15,5
Cosmic Express,0,4,5
Hunting Simulator,0,146,5
Shardbound,0,2,5
Just In Time Incorporated,0,1,5
Life Forge - Reborn ORPG,0,1,5
Cowboy zombie,0,14,5
Grey Hack,0,2,5
Tiny Rails,0,3,5
Nancy Drew: Treasure in the Royal Tower,0,7,5
1bitHeart,0,4,5
Legends of Ellaria,0,72,5
HIVESWAP: ACT 1,0,8,5
The Red Stare,0,1,5
Kreedz Climbing,0,2,5
Dies irae ~Amantes amentes~,0,5,5
Marie's Room,0,10,5
NOKBAK,0,1,5
The Caribbean Sail,0,20,5
Wrestling Revolution 3D,0,31,5
Super Fancy Pants Adventure,0,2,5
Traffic Giant,0,1,5
AMID EVIL,0,1,5
Super Bunny Man,0,2,5
Helium Rain,0,1,5
Evasion,0,1,5
Swarm Queen,0,2,5
Settlements,0,31,5
Baby Hands,0,1,5
Forever Home,0,2,5
SURV1V3,0,8,5
Project Rhombus,0,2,5
Neos VR,0,7,5
Paw Patrol: On A Roll,0,2,5
Kynseed,0,2,5
Long Live Santa!,0,7,5
Lake of Voices,0,1,5
Titanic: Adventure Out Of Time,0,5,5
The Snowboard Game,0,1,5
Supraland,0,7,5
Secret Little Haven,0,5,5
Touhou: Scarlet Curiosity,0,7,5
ISLAND,0,2,5
Climb,0,14,5
"one night, hot springs",0,1,5
Bladed Fury,0,2,5
MUSYNX,0,25,5
Super Amazing Wagon Adventure,52,52,4
Alone in the Dark: The New Nightmare,15,17,4
Descent,11,14,4
Governor of Poker 2,4,4,4
Timberman,2,2,4
Punch Planet,2,2,4
M??rchen Forest: Mylne and the Forest Gift,2,2,4
Nancy Drew: Tomb of the Lost Queen,1,4,4
Dangerous Waters,0,14,4
Amazing Adventures: The Lost Tomb,0,9,4
Shattered Union,0,1,4
Titan Quest: Immortal Throne,0,9,4
Shank,0,3,4
Commandos 3: Destination Berlin,0,2,4
Championship Manager 2007,0,1,4
DOOM 3: Resurrection of Evil,0,2,4
Wolfenstein,0,1,4
Crash Time II,0,3,4
Soldiers: Heroes of World War II,0,1,4
Manhunt,0,4,4
Hunting Unlimited 2010,0,1,4
Luxor 3,0,1,4
Samantha Swift and the Golden Touch,0,2,4
Virtual Villagers: A New Home,0,5,4
Virtual Families,0,1,4
Prince of Persia,0,13,4
Alien Breed: Impact,0,3,4
"Nancy Drew Dossier: Lights, Camera, Curses!",0,3,4
Nancy Drew: The Haunting of Castle Malloy,0,4,4
Nancy Drew: The Phantom of Venice,0,1,4
Loom,0,1,4
Combat Wings: Battle of Britain,0,1,4
Tradewinds Legends,0,1,4
Cake Mania 3,0,4,4
Cooking Dash,0,1,4
Jewel Quest,0,2,4
Star Wolves,0,2,4
Still Life,0,3,4
Atom Zombie Smasher,0,6,4
LUXOR: 5th Passage,0,2,4
Fantasy Wars,0,10,4
Men of War: Vietnam,0,1,4
Revenge of the Titans,0,1,4
Cities XL 2012,0,1,4
Fortune Summoners: Secret of the Elemental Stone,0,1,4
Waveform,0,4,4
Tiny and Big: Grandpa's Leftovers,0,1,4
Sacred Citadel,0,3,4
Fallen Enchantress,0,33,4
Of Orcs And Men,0,1,4
Total War Battles: SHOGUN,0,2,4
Clockwork Empires,0,1,4
Escape Dead Island,0,1,4
Spider-Man: Shattered Dimensions,0,4,4
Avadon 2: The Corruption,0,1,4
Sudeki,0,10,4
Takedown: Red Sabre,0,2,4
Legend of Dungeon,0,3,4
WWE 2K15,0,1,4
CastleStorm,0,1,4
Cognition: An Erica Reed Thriller,0,4,4
Hack 'n' Slash,0,1,4
Soundodger+,0,2,4
Eldritch,0,1,4
Obscure,0,2,4
The 7th Guest,0,5,4
Citizens of Earth,0,2,4
The Last Tinker: City of Colors,0,3,4
Gray Matter,0,1,4
Bedlam,0,7,4
Tesla Effect,0,7,4
Dead Man's Draw,0,1,4
Castle In The Darkness,0,87,4
STARWHAL,0,1,4
Mitsurugi Kamui Hikae,0,5,4
Brawlout,0,3,4
Coin Crypt,0,5,4
The Amazing Spider-Man 2,0,2,4
Treasure Adventure World,0,56,4
Haunt the House: Terrortown,0,1,4
HAWKEN,0,10,4
Detective Grimoire,0,5,4
Costume Quest 2,0,8,4
Terrian Saga: KR-17,0,1,4
Angvik,0,74,4
Munin,0,2,4
Dark Arcana: The Carnival,0,2,4
Nightmares from the Deep 2: The Siren`s Call,0,1,4
Clockwork Tales: Of Glass and Ink,0,7,4
Steel Armor: Blaze of War,0,17,4
Marauder,0,3,4
Pajama Sam 2: Thunder And Lightning Aren't So Frightening,0,5,4
Terrorhedron,0,5,4
Dead Bits,0,3,4
Black The Fall,0,2,4
Black Ice,0,7,4
Sovereignty: Crown of Kings,0,3,4
Time Mysteries 2: The Ancient Spectres,0,9,4
GamersGoMakers,0,1,4
Mighty No. 9,0,42,4
Trainz Trouble,0,19,4
Darkstone,0,1,4
Gigantic,0,2,4
JumpJet Rex,0,5,4
Celestial Command,0,15,4
2064: Read Only Memories,0,3,4
Executive Assault,0,2,4
Armikrog,0,2,4
Farm Expert 2016,0,4,4
Venetica,0,9,4
Pixel Heroes: Byte & Magic,0,1,4
TRANSFORMERS: Devastation,0,3,4
Crest,0,1,4
HyperRogue,0,1,4
Crash Drive 2,0,2,4
Man O' War: Corsair,0,1,4
fault - milestone two side:above,0,2,4
Total Extreme Wrestling 2010,0,1,4
Garden Rescue,0,2,4
Luminosity,0,1,4
The Bug Butcher,0,1,4
King of Dragon Pass,0,4,4
how do you Do It?,0,22,4
Shift Happens,0,2,4
Battle of the Bulge,0,1,4
Shiness: The Lightning Kingdom,0,3,4
9 Clues 2: The Ward,0,3,4
Lost Lands: Dark Overlord,0,1,4
STASIS,0,14,4
